element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,value,transfers_balance,selected,transfers_in,transfers_out
407,8,18,9,False,2022-08-06T14:00:00Z,4,1,1,90,1,0,0,4,0,0,0,0,0,0,2,33,49.2,56.1,24.0,12.9,1,0.12,0.14,0.26,1.57,65,0,717828,0,0
407,19,11,2,True,2022-08-13T14:00:00Z,2,2,2,90,0,0,0,2,0,0,0,0,0,0,0,8,9.6,3.2,1.0,1.4,1,0.03,0.02,0.04,1.93,65,130490,987759,169232,38742
407,26,10,7,False,2022-08-20T14:00:00Z,1,2,3,90,0,1,0,1,0,0,0,0,0,0,2,31,32.4,59.8,0.0,9.2,1,0.00,0.40,0.40,0.29,65,-32738,971090,90397,123135
407,39,14,2,True,2022-08-27T11:30:00Z,0,1,4,90,0,0,0,1,0,0,0,0,0,0,0,19,24.2,67.8,2.0,9.4,1,0.00,0.27,0.27,1.40,65,-32033,965151,57187,89220
407,50,6,1,True,2022-08-30T18:45:00Z,2,1,5,90,0,0,0,1,0,0,0,1,0,0,0,0,0.0,16.3,0.0,1.6,1,0.00,0.18,0.18,1.10,65,-92396,878749,19198,111594
407,60,20,2,False,2022-09-03T14:00:00Z,1,0,6,90,0,0,0,1,0,0,0,0,0,0,0,18,21.8,32.4,15.0,6.9,1,0.12,0.05,0.17,0.80,65,15272,908760,105516,90244
407,71,2,1,False,2022-09-16T19:00:00Z,1,0,8,90,0,0,0,1,0,0,0,1,0,0,0,10,11.6,19.6,16.0,4.7,1,0.10,0.07,0.17,1.50,65,128342,1076486,165505,37163
407,89,8,2,True,2022-10-01T14:00:00Z,1,2,9,90,0,0,0,2,0,0,0,0,0,0,0,20,17.6,37.4,16.0,7.1,1,0.22,0.25,0.47,1.96,65,-83238,909663,30178,113416
407,97,13,2,False,2022-10-08T14:00:00Z,4,0,10,90,0,0,0,4,0,0,0,0,0,0,0,14,13.6,11.5,0.0,2.5,1,0.00,0.01,0.01,2.47,64,-164153,745279,6050,170203
407,108,19,2,True,2022-10-16T13:00:00Z,1,1,11,90,0,0,0,1,0,0,0,0,0,0,0,14,8.8,13.8,0.0,2.3,1,0.00,0.02,0.02,1.68,64,-56055,692965,6080,62135
407,112,3,3,False,2022-10-19T18:30:00Z,0,1,12,90,0,0,1,0,0,0,0,0,0,0,0,14,17.0,17.1,1.0,3.5,1,0.06,0.03,0.09,1.04,64,-5501,688893,20440,25941
407,127,1,2,True,2022-10-23T13:00:00Z,1,1,13,90,0,0,0,1,0,0,0,0,0,0,0,13,7.2,16.9,0.0,2.4,1,0.00,0.04,0.04,0.99,63,-51463,639948,4040,55503
407,135,7,2,False,2022-10-29T14:00:00Z,1,0,14,90,0,0,0,1,0,0,0,0,0,0,0,15,9.8,56.3,1.0,6.7,1,0.05,0.15,0.20,0.89,63,-47754,593455,4949,52703
407,147,15,2,True,2022-11-06T14:00:00Z,1,4,15,90,0,0,0,4,0,0,0,0,0,0,0,13,21.4,49.5,7.0,7.8,1,0.03,0.23,0.26,0.86,62,-44501,549280,2773,47274
407,154,12,5,False,2022-11-12T15:00:00Z,3,1,16,90,0,1,0,3,0,0,0,0,0,0,0,30,29.4,26.3,0.0,5.6,1,0.00,0.20,0.20,1.95,62,-35276,515169,2736,38012
