element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,value,transfers_balance,selected,transfers_in,transfers_out
612,53,5,0,False,2022-09-04T13:00:00Z,5,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00000,0.00000,0.00000,0.00000,45,333,608,372,39
612,79,18,-1,False,2022-09-17T16:30:00Z,6,2,8,90,0,0,0,6,0,0,0,0,0,0,0,14,21.6,12.6,2.0,3.6,1,0.00000,0.01196,0.01196,2.18850,45,91,1645,191,100
612,86,16,6,True,2022-10-03T19:00:00Z,4,0,9,90,0,0,1,0,0,0,0,0,0,0,0,24,10.4,0.5,4.0,1.5,1,0.07430,0.00839,0.08269,1.16140,45,575,2613,906,331
612,92,3,1,False,2022-10-08T14:00:00Z,2,1,10,90,0,0,0,2,0,0,0,0,0,0,0,21,42.4,10.7,6.0,5.9,1,0.18260,0.00525,0.18785,1.13580,45,3010,6279,3564,554
612,105,7,6,True,2022-10-15T11:30:00Z,0,0,11,90,0,0,1,0,0,0,0,0,0,0,0,27,21.6,3.7,0.0,2.5,1,0.00000,0.00613,0.00613,0.39280,45,365,6798,1534,1169
612,117,11,7,True,2022-10-20T19:15:00Z,2,0,12,90,0,0,1,0,0,0,0,0,0,0,1,23,26.2,0.2,0.0,2.6,1,0.00000,0.00342,0.00342,1.33100,45,1120,10058,2136,1016
612,130,20,5,False,2022-10-23T13:00:00Z,0,4,13,90,0,0,1,0,0,0,0,1,0,0,0,20,17.4,0.2,0.0,1.8,1,0.00000,0.00693,0.00693,2.12490,45,1137,9516,1952,815
612,137,13,2,True,2022-10-29T11:30:00Z,0,1,14,90,0,0,0,1,0,0,0,0,0,0,0,12,11.8,0.3,0.0,1.2,1,0.00000,0.00457,0.00457,1.02820,45,1616,11620,2903,1287
612,143,8,6,False,2022-11-05T17:30:00Z,0,2,15,90,0,0,1,0,0,0,0,0,0,0,0,25,22.2,0.8,19.0,4.2,1,0.07200,0.03214,0.10414,1.23920,45,1219,13207,2364,1145
612,159,19,6,False,2022-11-12T15:00:00Z,0,2,16,90,0,0,1,0,0,0,0,0,0,0,0,25,25.4,0.3,0.0,2.6,1,0.00000,0.00122,0.00122,1.40040,45,7949,21899,9201,1252
612,168,15,1,True,2022-12-26T15:00:00Z,0,3,17,90,0,0,0,3,0,0,0,0,0,0,0,14,11.8,11.9,8.0,3.2,1,0.01790,0.06915,0.08705,1.90200,45,13137,35716,25865,12728
