element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,value,transfers_balance,selected,transfers_in,transfers_out
264,6,4,0,True,2022-08-07T13:00:00Z,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00000,0.00000,0.00000,0.00000,70,0,197907,0,0
264,11,1,0,False,2022-08-13T14:00:00Z,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00000,0.00000,0.00000,0.00000,69,-78443,117394,219,78662
264,26,17,2,True,2022-08-20T14:00:00Z,1,2,3,75,0,0,0,1,0,0,0,0,0,0,0,4,0.4,1.9,26.0,2.8,1,0.14330,0.01144,0.15474,0.44160,69,-23694,96805,2887,26581
264,35,6,7,False,2022-08-27T14:00:00Z,2,1,4,90,1,0,0,2,0,0,0,0,0,0,0,20,37.2,4.9,54.0,9.6,1,0.29080,0.02578,0.31658,1.75160,69,-4914,94528,2884,7798
264,46,14,2,True,2022-09-01T19:00:00Z,0,1,5,90,0,0,0,1,0,0,0,0,0,0,0,-3,0.0,2.9,12.0,1.4,1,0.23950,0.07267,0.31217,1.54820,69,4398,102598,9309,4911
264,53,5,1,False,2022-09-04T13:00:00Z,5,2,6,45,0,0,0,2,0,0,0,0,0,0,0,0,3.2,0.3,17.0,2.1,1,0.08350,0.00656,0.09006,0.97790,69,3972,108810,12010,8038
264,79,18,2,False,2022-09-17T16:30:00Z,6,2,8,90,0,0,0,6,0,0,0,0,0,0,0,8,0.0,6.4,16.0,2.1,1,0.22740,0.07607,0.30347,2.18850,69,3673,113863,10500,6827
264,86,16,8,True,2022-10-03T19:00:00Z,4,0,9,90,1,0,1,0,0,0,0,0,0,0,0,25,43.0,35.1,70.0,14.8,1,0.24710,0.12862,0.37572,1.16140,69,24867,138382,36967,12100
264,92,3,2,False,2022-10-08T14:00:00Z,2,1,10,90,0,0,0,2,0,0,0,0,0,0,0,8,14.0,1.8,41.0,5.7,1,0.12630,0.03509,0.16139,1.13580,69,23499,163359,34463,10964
264,105,7,3,True,2022-10-15T11:30:00Z,0,0,11,84,0,0,1,0,0,0,0,0,0,0,0,0,3.0,16.2,69.0,8.8,1,0.16020,0.13852,0.29872,0.39280,69,-6044,157099,10338,16382
264,117,11,8,True,2022-10-20T19:15:00Z,2,0,12,84,1,0,1,0,0,0,0,0,0,0,0,19,37.0,2.2,19.0,5.8,1,0.46820,0.00976,0.47796,1.28730,69,30225,245024,40928,10703
264,130,20,8,False,2022-10-23T13:00:00Z,0,4,13,78,1,0,1,0,0,0,0,0,0,0,0,26,36.8,2.2,21.0,6.0,1,0.22620,0.04091,0.26711,2.12490,69,-7571,180799,13877,21448
264,137,13,2,True,2022-10-29T11:30:00Z,0,1,14,90,0,0,0,1,0,0,0,0,0,0,0,6,6.6,1.1,23.0,3.1,1,0.07370,0.00627,0.07997,1.02820,69,-9176,172956,15628,24804
264,143,8,8,False,2022-11-05T17:30:00Z,0,2,15,90,1,0,1,0,0,0,0,0,0,0,0,23,43.2,13.3,58.0,11.5,1,0.81860,0.10241,0.92101,1.23920,69,985,175292,16052,15067
264,159,19,8,False,2022-11-12T15:00:00Z,0,2,16,90,1,0,1,0,0,0,0,0,0,0,0,24,38.0,14.6,17.0,7.0,1,0.43710,0.02581,0.46291,1.40040,69,15196,192117,25877,10681
264,168,15,2,True,2022-12-26T15:00:00Z,0,3,17,70,0,0,0,3,0,0,0,0,0,0,0,4,0.8,1.9,16.0,1.9,1,0.00000,0.02874,0.02874,1.89400,69,1611,197204,68905,67294
264,174,12,2,False,2022-12-30T20:00:00Z,2,1,18,90,0,0,0,2,0,0,0,0,0,0,0,-5,3.0,1.9,29.0,3.4,1,0.18720,0.01902,0.20622,2.12450,69,-21302,176170,3539,24841
