element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out
39,2,3,0,False,2022-08-06T14:00:00Z,2.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,0,573589,0,0
39,12,8,2,True,2022-08-13T11:30:00Z,2.0,1.0,2,90,0,0,0,1,0,0,0,0,0,0,0,15,16.6,1.3,0.0,1.8,45,-93171,507947,10497,103668
39,22,7,1,False,2022-08-20T14:00:00Z,3.0,1.0,3,90,0,0,0,3,0,0,0,0,0,0,0,13,13.8,0.4,0.0,1.4,44,-34197,488420,21874,56071
39,32,19,0,True,2022-08-28T13:00:00Z,,,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,44,-56063,437220,8200,64263
