element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out
292,4,9,0,False,2022-08-06T11:30:00Z,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,0,10567,0,0
292,16,7,0,True,2022-08-15T19:00:00Z,1,1,2,27,0,0,0,0,0,0,0,1,0,0,0,3,3.4,2.1,18.0,2.4,45,-2858,7926,80,2938
292,27,14,1,False,2022-08-22T19:00:00Z,2,1,3,5,0,0,0,0,0,0,0,0,0,0,0,5,3.2,0.6,0.0,0.4,45,-459,8417,665,1124
292,36,3,7,True,2022-08-27T14:00:00Z,9,0,4,21,0,2,0,0,0,0,0,0,0,0,0,23,34.2,25.6,2.0,6.2,45,5,9642,1060,1055
