element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out
254,6,4,1,True,2022-08-07T13:00:00Z,2,2,1,90,0,0,0,2,0,0,0,0,0,1,0,11,9.8,0.0,0.0,1.0,40,0,1983925,0,0
254,11,1,1,False,2022-08-13T14:00:00Z,4,2,2,90,0,0,0,4,0,0,0,0,0,4,0,12,28.0,0.0,0.0,2.8,40,125098,2358777,149823,24725
254,26,17,1,True,2022-08-20T14:00:00Z,1,2,3,90,0,0,0,2,0,0,0,0,0,1,0,11,7.0,0.0,0.0,0.7,40,121952,2576533,189299,67347
254,35,6,1,False,2022-08-27T14:00:00Z,2,1,4,90,0,0,0,2,0,0,0,0,0,1,0,9,10.4,0.0,0.0,1.0,40,23240,2645665,117112,93872
