element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,value,transfers_balance,selected,transfers_in,transfers_out
369,7,16,3,True,2022-08-06T14:00:00Z,2,0,1,80,0,0,1,0,0,0,0,0,0,0,0,16,15.4,30.7,39.0,8.5,1,0.12070,0.48481,0.60551,0.27550,50,0,108734,0,0
369,14,5,3,False,2022-08-13T14:00:00Z,0,0,2,90,0,0,1,0,0,0,0,0,0,0,0,8,14.4,2.3,6.0,2.3,1,0.06420,0.05714,0.12134,1.49770,50,7683,127545,20856,13173
369,28,13,7,True,2022-08-21T15:30:00Z,3,3,3,82,1,0,0,3,0,0,0,0,0,0,0,19,31.2,11.5,59.0,10.2,1,0.70580,0.09798,0.80378,1.96110,50,-14210,116140,18169,32379
369,40,20,2,False,2022-08-28T13:00:00Z,1,1,4,83,0,0,0,1,0,0,0,0,0,0,0,10,4.2,4.6,48.0,5.7,1,0.17790,0.09425,0.27215,0.65900,50,30973,155644,53094,22121
369,48,12,2,False,2022-08-31T19:00:00Z,2,1,5,83,0,0,0,1,0,0,0,0,0,0,0,9,5.2,1.6,0.0,0.7,1,0.00000,0.00634,0.00634,1.17370,50,-7524,149055,21559,29083
369,57,7,3,True,2022-09-03T14:00:00Z,0,0,6,69,0,0,1,0,0,0,0,0,0,0,0,4,7.4,12.9,17.0,3.7,1,0.18080,0.05312,0.23392,0.66420,50,34093,189404,56775,22682
369,77,3,2,True,2022-09-17T14:00:00Z,1,1,8,88,0,0,0,1,0,0,0,0,0,0,0,12,11.2,18.3,45.0,7.5,1,0.24770,0.06832,0.31602,0.74780,50,93728,319190,113343,19615
369,84,9,15,False,2022-10-01T14:00:00Z,1,4,9,90,2,0,0,1,0,0,0,0,0,0,3,48,70.0,6.7,92.0,16.9,1,1.03610,0.03701,1.07311,0.46780,50,-24451,257304,21375,45826
369,98,4,7,True,2022-10-08T14:00:00Z,5,1,10,83,1,0,0,1,0,0,0,0,0,0,0,25,39.4,14.1,39.0,9.3,1,0.47580,0.04542,0.52122,1.18750,51,269760,546872,293699,23939
369,107,14,3,False,2022-10-16T13:00:00Z,0,0,11,90,0,0,1,0,0,0,0,0,0,0,0,4,3.2,3.2,3.0,0.9,1,0.05270,0.02937,0.08207,0.82030,52,152782,700811,189465,36683
369,120,8,10,True,2022-10-19T18:30:00Z,1,0,12,72,1,0,1,0,0,0,0,0,0,0,2,26,41.0,14.9,28.0,8.4,1,0.20670,0.04357,0.25027,0.17320,52,190403,1004630,215067,24664
369,128,18,10,False,2022-10-23T15:30:00Z,1,2,13,90,1,0,0,1,0,0,0,0,0,0,3,35,37.8,10.0,82.0,13.0,1,0.55950,0.03720,0.59670,1.65150,53,261959,1154535,294981,33022
369,140,2,12,True,2022-10-29T14:00:00Z,4,0,14,85,1,1,1,0,0,0,0,0,0,0,1,34,41.4,27.1,52.0,12.1,1,0.34020,0.09306,0.43326,0.36680,55,920308,2097505,932050,11742
369,147,17,8,False,2022-11-06T14:00:00Z,1,4,15,80,1,0,1,0,0,0,0,0,0,0,0,25,39.6,10.8,47.0,9.7,1,0.33710,0.00479,0.34189,1.20850,57,980548,3109303,992473,11925
369,156,6,6,True,2022-11-12T17:30:00Z,1,0,16,90,0,1,1,0,0,0,0,0,0,0,0,23,28.6,32.2,8.0,6.9,1,0.06630,0.13282,0.19912,0.29570,58,451266,3566407,480965,29699
369,168,10,8,False,2022-12-26T15:00:00Z,0,3,17,82,1,0,1,0,0,0,0,0,0,0,0,26,40.2,13.4,41.0,9.5,1,0.51700,0.07013,0.58713,0.41200,58,741086,4334726,1023657,282571
