element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out
373,7,16,3,True,2022-08-06T14:00:00Z,2,0,1,79,0,0,1,0,0,0,0,0,0,0,0,6,14.0,14.4,53.0,8.1,50,0,45439,0,0
373,14,5,3,False,2022-08-13T14:00:00Z,0,0,2,75,0,0,1,0,0,0,0,0,0,0,0,11,20.2,5.2,27.0,5.2,50,3816,55473,9007,5191
373,28,13,2,True,2022-08-21T15:30:00Z,3,3,3,69,0,0,0,3,0,0,0,0,0,0,0,11,10.4,14.9,2.0,2.7,50,-4578,52609,5951,10529
373,40,20,2,False,2022-08-28T13:00:00Z,1,1,4,83,0,0,0,1,0,0,0,0,0,0,0,5,6.8,37.8,18.0,6.3,50,-6049,47723,2798,8847
373,48,12,2,False,2022-08-31T19:00:00Z,2,1,5,90,0,0,0,2,0,0,0,0,0,0,0,10,23.4,11.1,0.0,3.5,49,-4984,43688,2509,7493
373,57,7,3,True,2022-09-03T14:00:00Z,0,0,6,90,0,0,1,0,0,0,0,0,0,0,0,2,7.8,1.7,24.0,3.4,49,2847,47978,8573,5726
373,77,3,2,True,2022-09-17T14:00:00Z,1,1,8,90,0,0,0,1,0,0,0,0,0,0,0,11,13.0,36.5,15.0,6.5,49,4486,53159,7407,2921
373,84,9,10,False,2022-10-01T14:00:00Z,1,4,9,90,0,2,0,1,0,0,0,0,0,0,2,33,48.4,44.8,86.0,17.9,49,-1878,50442,4084,5962
