element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,value,transfers_balance,selected,transfers_in,transfers_out
504,9,5,1,True,2022-08-07T13:00:00Z,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,6,4.0,0.0,0.0,0.4,0,0.00000,0.00000,0.00000,0.00000,45,0,192542,0,0
504,13,4,1,False,2022-08-13T16:30:00Z,4,0,2,45,0,0,0,0,0,0,0,0,0,0,0,4,9.2,6.8,8.0,2.4,0,0.04360,0.01708,0.06068,0.29230,45,-23169,185107,5832,29001
504,27,12,2,True,2022-08-22T19:00:00Z,2,1,3,90,0,0,0,1,0,0,0,0,0,0,0,9,14.6,4.8,0.0,1.9,1,0.00000,0.00430,0.00430,1.34980,44,-30067,159453,5897,35964
504,39,17,8,False,2022-08-27T11:30:00Z,0,1,4,90,0,0,1,0,0,0,0,0,0,0,2,30,20.4,2.2,2.0,2.5,1,0.00000,0.08922,0.08922,1.45220,44,46308,226312,62706,16398
504,46,10,5,False,2022-09-01T19:00:00Z,0,1,5,90,0,0,1,0,0,0,0,1,0,0,0,16,6.0,2.6,4.0,1.3,1,0.00000,0.01539,0.01539,0.73200,44,63490,307242,77116,13626
504,56,1,2,True,2022-09-04T15:30:00Z,3,1,6,90,0,0,0,1,0,0,0,0,0,0,0,11,9.0,2.0,0.0,1.1,1,0.00000,0.00858,0.00858,1.31620,44,49903,370117,72441,22538
504,88,13,-2,False,2022-10-02T13:00:00Z,6,3,9,45,0,0,0,4,0,0,0,1,0,0,0,2,0.8,0.8,0.0,0.2,1,0.00000,0.00798,0.00798,2.46110,45,8942,417490,41170,32228
504,96,8,0,False,2022-10-09T18:00:00Z,1,2,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00000,0.00000,0.00000,0.00000,45,-18094,401726,15061,33155
504,107,15,0,True,2022-10-16T13:00:00Z,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00000,0.00000,0.00000,0.00000,45,-29462,373223,4507,33969
504,119,18,0,True,2022-10-19T19:15:00Z,2,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00000,0.00000,0.00000,0.00000,44,-28923,326421,2093,31016
504,122,6,0,False,2022-10-22T16:30:00Z,1,1,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00000,0.00000,0.00000,0.00000,44,-38342,309224,1229,39571
504,139,19,0,True,2022-10-30T16:15:00Z,1,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00000,0.00000,0.00000,0.00000,43,-34880,274934,1563,36443
504,141,2,1,False,2022-11-06T14:00:00Z,3,1,15,25,0,0,0,0,0,0,0,0,0,0,0,2,2.2,1.8,0.0,0.4,0,0.00000,0.00991,0.00991,0.00000,43,-25167,249972,1423,26590
504,153,9,2,False,2022-11-13T16:30:00Z,1,2,16,90,0,0,0,1,0,0,0,0,0,0,0,12,8.4,2.3,0.0,1.1,1,0.00000,0.01206,0.01206,1.37000,42,-8563,242601,4944,13507
504,169,16,5,True,2022-12-27T20:00:00Z,3,0,17,90,0,0,1,0,0,0,0,1,0,0,0,19,18.0,5.7,29.0,5.3,1,0.12590,0.10053,0.22643,0.71730,42,-10186,233665,39329,49515
504,180,20,9,False,2022-12-31T12:30:00Z,0,1,18,90,0,0,1,0,0,0,0,0,0,0,3,29,22.2,17.0,2.0,4.1,1,0.00000,0.12167,0.12167,0.67490,42,9661,244173,15212,5551
